date,time,username,tweet,Compound_Score,Sentiments
29/01/2023,6:37:20,pejuangmslim,rakyat percaya institusi semenjak sambo gak kelar kelar nimbul sambo sambo,0.0,Netral
29/01/2023,18:04:53,lmh1640,tidak suka mulia drpd benci oke logika nggak benci sambo wowon koruptor dll nggak ganggu,0.0,Netral
29/01/2023,23:28:50,irfansambo,amin moga sakinah mawadah warohmah,0.0,Netral
20/01/2023,7:40:23,johnyjoe76,abai pasal eliezer orang sipil perintah bintang tempel pundak sambo eliezer jam dinas liat aja akbp kombes gemetar tolak perintah bharada doa sambo pc tembus,-0.5106,Negatif
26/01/2023,9:43:32,pr_tasikmalaya,abdi buah dakwa bunuh bharada e serah putus majelis hakim,0.0,Netral
29/01/2023,8:37:49,challsofrivia,abdi karo duit sing sembah pulisi iku duit sambo iku contoh sing,0.0,Netral
20/01/2023,11:47:42,demokrasicoid,abis jpu tuntut bharada e penjara emak-emak dukung tahan nang gemeteran ngomong anak dimanfaatin,0.0,Netral
26/12/2022,22:28:49,wellingwell,abis nonton bela romo magnis sidang bharada e ken baca buku i think he s the last jesuit philosopher in indonesia,0.0,Netral
30/12/2022,22:14:01,ktkntdk,abis nonton cuplik sidang bharada e yg datengin saksi ahli susun rkuhp mikir iya yg ngedemo rkuhp kritis ni saksi ahli,0.0,Netral
09/12/2022,20:46:08,detektive88,abis yg bunuh brigadir j ngibulin kawan mulusin rekayasa kawan pecat yg ngikut penjara gak kalah sadis,0.0,Netral
29/01/2023,21:46:00,gilangsepatuglg,abis anak buah sambo,0.0,Netral
04/01/2023,8:18:30,mellouisa1,acara bayar sambo apa bela sambo rakyat tonton fakta bela harga keluarga habis brigadir j yg kambing hitam bawah salah terima instruksi libat bawah lawan hukum,0.0,Netral
18/01/2023,16:31:30,inewsdotid,acara bharada e aju pleidoi pekan tuntut luka adil,0.0,Netral
06/11/2022,22:37:49,genmedianetwork,acara bharada e alias richard eliezer pudihang lumiu ronny talapesy klien temu kuat ma ruf ricky rizal sidang adil negeri jakarta selatan pn jaksel senin november,0.0,Netral
20/12/2022,20:15:42,sindonews,acara bharada e anggap kubu ferdy sambo diskredit klien sindonews bukanberitabiasa,0.0,Netral
19/12/2022,16:42:12,tribunjambiku,acara bharada e art ferdy sambo hilang saksi fakta terang,0.0,Netral
20/12/2022,20:20:01,gatra_com,acara bharada e buka suara sarung tangan sambo,0.0,Netral
15/12/2022,8:34:04,vivacoid,acara bharada e bukti ferdy sambo pakai sarung tangan tembak brigadir j,0.0,Netral
04/01/2023,15:56:05,idntimes,acara bharada e cctv lantai rumah ferdy sambo,0.0,Netral
19/12/2022,10:46:33,kompastv,acara bharada e cecar ahli forensik kuat fakta ferdy sambo tembak brigadir j,0.0,Netral
05/12/2022,11:11:37,inewsdotid,acara bharada e cecar kuat ma ruf ricky sarung tangan pakai sambo,0.0,Netral
15/12/2022,10:02:37,inilahbdgcom,acara bharada e duga ferdy sambo pakai sarung tangan eksekusi brigadir j gegara dna bandung,0.0,Netral
28/12/2022,10:31:31,beritasatu,acara bharada e gali perintah jabat ferdy sambo,0.0,Netral
14/12/2022,19:39:03,idntimes,acara bharada e glock pakai sambo tembak yosua hilang,0.0,Netral
18/01/2023,16:58:07,idntimes,acara bharada e hakim wakil tuhan terap adil,0.0,Netral
18/01/2023,14:08:02,gatra_com,acara bharada e harap tuntut jpu klien dakwa,0.0,Netral
11/01/2023,11:48:01,gatra_com,acara bharada e harap tuntut jpu sesuai fakta sidang,0.0,Netral
04/01/2023,21:43:35,terkinidotid,acara bharada e heran dakwa ngaku lihat sambo tembak yosua acara bharada richard eliezer bharada e ronny talapessy heran dakwa bunuh brigadir yosua,0.0,Netral
23/12/2022,12:25:33,kompastv,acara bharada e jelas doenpleger serta jahat hukum pidana,0.0,Netral
05/01/2023,23:16:14,orasiid,acara bharada e klaim hakim lihat cctv lantai rumah sambo,0.0,Netral
05/01/2023,23:46:52,beritasatu,acara bharada e konsisten terang,0.0,Netral
04/01/2023,19:47:09,vivacoid,acara bharada e lemari senjata ferdy sambo lenyap,0.0,Netral
04/01/2023,20:40:02,eradotid,acara bharada e lemari senjata rumah ferdy sambo,0.0,Netral
05/01/2023,17:40:12,data_jambi,acara bharada e lihat sambo tembak,0.0,Netral
19/12/2022,21:31:12,cnnindonesia,acara bharada e respons saksi ahli grup wa duren,0.0,Netral
18/01/2023,13:06:14,gtvid_news,acara bharada e ronny talapessy harap jpu ambil sikap progresif tuntut bebas klien aas lengkap,0.5423,Positif
