date,time,username,tweet,Compound_Score,Sentiments
29/01/2023,6:37:20,muslim fighters,"people believe in institutions since sambo doesn't stop, sambo sambo arises",0.2235,Positif
29/01/2023,18:04:53,lmh1640,don't like noble rather than hate okay logic don't hate sambo wowon corruption etc don't bother,-0.3304,Negatif
29/01/2023,23:28:50,irfansambo,"Amen, I hope you will be sakinah, mawaddah, warohmah",0.4404,Positif
20/01/2023,7:40:23,johnyjoe76,ignore the article eliezer civilians order star patch on the shoulder of sambo eliezer service hours just look at AKBP Kombes shaking refuse to order bharada dua sambo pc translucent,-0.6597,Negatif
26/01/2023,9:43:32,pr tasikmalaya,Servant of the indictment of killing Bharada e surrendered to the panel of judges,-0.6597,Negatif
29/01/2023,8:37:49,challsofrivia,a servant with money who worships the police is money sambo is an example of that,0.34,Positif
20/01/2023,11:47:42,demokrasicoid,"after the prosecutor sued bharada e in prison, the mother supported the detainee who was trembling saying that the child was being used",-0.5423,Negatif
26/12/2022,22:28:49,wellingwell,after watching defending romo magnis at the bharada trial e ken read a book i think he is the last jesuit philosopher in indonesia,0.0,Netral
30/12/2022,22:14:01,ktkntdk,"After watching a clip from the trial of Bharada E, who came to the expert witness to arrange the RKUHP, I thought yes the one demonstrating the RKUHP was critical, this is the expert witness",0.1027,Positif
09/12/2022,20:46:08,detectives88,"After the one who killed Brigadier J bullied a friend, smoothed out the engineering of the friend who fired him who was in prison, no less sadistic",-0.9062,Negatif
29/01/2023,21:46:00,gilangepatuglg,after sambo's men,0.0,Netral
04/01/2023,8:18:30,Melluisa1,What is the sambo payment event for defending sambo people? Watch the facts about defending family values.,0.4019,Positif
18/01/2023,16:31:30,inewsdotid,bharada e aju event pleidoi week demands fair injury,-0.128,Negatif
06/11/2022,22:37:49,genmedianetwork,event bharada e aka richard eliezer pudihang lumiu ronny talapesy strong client meeting ma ruf ricky rizal fair trial south jakarta pn south jakarta monday november,0.6808,Positif
20/12/2022,20:15:42,sindonews,The bharada e event considers Ferdy Sambo's camp to discredit Sindonews clients as not ordinary news,0.0,Netral
